canton,year,total
Appenzell Rh.-Ext.,2001,225
Appenzell Rh.-Ext.,2002,249
Appenzell Rh.-Ext.,2003,212
Appenzell Rh.-Ext.,2004,219
Appenzell Rh.-Ext.,2005,237
Appenzell Rh.-Ext.,2006,259
Appenzell Rh.-Ext.,2007,271
Appenzell Rh.-Ext.,2008,253
Appenzell Rh.-Ext.,2009,262
Appenzell Rh.-Ext.,2010,262
Appenzell Rh.-Ext.,2011,257
Appenzell Rh.-Ext.,2012,285
Appenzell Rh.-Ext.,2013,226
Appenzell Rh.-Ext.,2014,294
Appenzell Rh.-Ext.,2015,287
Appenzell Rh.-Ext.,2016,288
Appenzell Rh.-Ext.,2017,264
Appenzell Rh.-Ext.,2018,250
Appenzell Rh.-Ext.,2019,276
Appenzell Rh.-Ext.,2020,247
Appenzell Rh.-Ext.,2021,259
Appenzell Rh.-Ext.,2022,247
