canton,year,total
Appenzell Rh.-Int.,2001,62
Appenzell Rh.-Int.,2002,62
Appenzell Rh.-Int.,2003,59
Appenzell Rh.-Int.,2004,62
Appenzell Rh.-Int.,2005,62
Appenzell Rh.-Int.,2006,57
Appenzell Rh.-Int.,2007,73
Appenzell Rh.-Int.,2008,70
Appenzell Rh.-Int.,2009,92
Appenzell Rh.-Int.,2010,76
Appenzell Rh.-Int.,2011,82
Appenzell Rh.-Int.,2012,96
Appenzell Rh.-Int.,2013,71
Appenzell Rh.-Int.,2014,82
Appenzell Rh.-Int.,2015,85
Appenzell Rh.-Int.,2016,71
Appenzell Rh.-Int.,2017,71
Appenzell Rh.-Int.,2018,58
Appenzell Rh.-Int.,2019,79
Appenzell Rh.-Int.,2020,59
Appenzell Rh.-Int.,2021,86
Appenzell Rh.-Int.,2022,71
